name,description
21s Bicep Curl,"Curl de bíceps en tres bloques de 7 repeticiones sin descanso: primero la mitad inferior del recorrido, luego la mitad superior y finalmente el recorrido completo."
Ab Scissors,"Acostado boca arriba con la zona lumbar pegada al piso, eleva las piernas extendidas y crúzalas alternadamente como tijeras, sin tocar el suelo."
Ab Wheel,"Arrodillado, sujeta la rueda y desliza hacia adelante extendiendo el cuerpo sin arquear la espalda baja. Regresa contrayendo el abdomen."
Aerobics,"Trabajo cardiovascular continuo con movimientos coordinados de brazos y piernas, manteniendo un ritmo sostenido durante toda la sesión."
Air Bike,Pedaleo en bicicleta de aire empujando y jalando los manubrios al mismo tiempo. La resistencia aumenta con la velocidad.
Arnold Press (Dumbbell),Comienza con las mancuernas frente a los hombros y las palmas hacia ti. Gira las muñecas hacia afuera mientras empujas por encima de la cabeza.
Around The World,"Acostado en banco con mancuernas, describe un arco amplio desde los muslos hasta encima de la cabeza manteniendo los codos ligeramente flexionados."
Assisted Pistol Squats,Sentadilla a una pierna sujetándote de un soporte para asistir el equilibrio. Baja controlado con la pierna libre extendida al frente.
Back Extension (Hyperextension),"En el banco de hiperextensiones, baja el torso flexionando la cadera y sube hasta alinear espalda y piernas. Evita hiperextender la zona lumbar."
Back Extension (Machine),"Sentado en la máquina, extiende el torso hacia atrás contra la resistencia y regresa controlando el movimiento."
Back Extension (Weighted Hyperextension),Hiperextensión sosteniendo un disco o mancuerna contra el pecho para añadir carga al movimiento.
Ball Slams,"Levanta el balón medicinal por encima de la cabeza y lánzalo contra el piso con fuerza, acompañando con el abdomen y la cadera."
Band Pullaparts,"Sujeta una banda con los brazos extendidos al frente y sepáralos hasta llevar la banda al pecho, juntando los omóplatos."
Battle Ropes,"Sujeta un extremo de cada cuerda y genera ondas continuas alternando los brazos, con las rodillas semiflexionadas y el torso firme."
Behind the Back Bicep Wrist Curl (Barbell),"De pie con la barra tomada por detrás de los glúteos, flexiona solo las muñecas para elevar la barra y controla el descenso."
Bench Dip,"Con las manos apoyadas en un banco detrás de ti y los pies al frente, baja flexionando los codos y empuja hasta extenderlos."
Bench Press (Barbell),"Acostado en el banco, baja la barra controlada hasta rozar el pecho y empuja hasta extender los codos. Mantén los omóplatos retraídos y los pies firmes en el piso."
Bench Press (Cable),"Press de pecho con poleas, empujando los agarres al frente desde la altura del pecho hasta extender los brazos."
Bench Press (Dumbbell),"Acostado en banco, baja las mancuernas a los costados del pecho y empújalas hasta arriba. El recorrido es mayor que con barra."
Bench Press (Smith Machine),Press de banca en multipower. La barra guiada permite concentrarse en el empuje sin controlar la trayectoria.
Bench Press - Close Grip (Barbell),Press de banca con las manos al ancho de los hombros. Mantén los codos cerca del torso para cargar más los tríceps.
Bench Press - Wide Grip (Barbell),"Press de banca con agarre más abierto que los hombros, lo que reduce el recorrido y enfatiza el pectoral."
Bent Over Row (Band),"Con el torso inclinado y la banda bajo los pies, jala los extremos hacia el abdomen llevando los codos hacia atrás."
Bent Over Row (Barbell),"Con el torso inclinado cerca de 45 grados y la espalda recta, jala la barra hacia el abdomen y baja controlado. No uses impulso de la cadera."
Bent Over Row (Dumbbell),"Remo con mancuernas y torso inclinado, llevando los codos hacia atrás y juntando los omóplatos en la parte alta."
Bicep Curl (Barbell),"De pie con la barra en las manos, flexiona los codos hasta subir la barra al pecho manteniendo los codos pegados al torso."
Bicep Curl (Cable),Curl de bíceps en polea baja. La tensión se mantiene constante durante todo el recorrido.
Bicep Curl (Dumbbell),"Curl de bíceps con mancuernas, flexionando los codos sin balancear el torso. Puede hacerse alternado o simultáneo."
Bicep Curl (Machine),"Curl de bíceps en máquina, con los brazos apoyados en el soporte para aislar el movimiento del codo."
Bicep Curl (Suspension),"Con las cintas de suspensión, inclina el cuerpo hacia atrás y flexiona los codos para elevarte, manteniendo el cuerpo alineado."
Bicycle Crunch,"Acostado boca arriba, lleva un codo hacia la rodilla contraria alternando lados con un movimiento continuo de pedaleo."
Bicycle Crunch Raised Legs,"Variante del bicycle crunch manteniendo las piernas elevadas durante todo el ejercicio, lo que aumenta la exigencia abdominal."
Bird Dog,"En cuatro apoyos, extiende un brazo y la pierna contraria al mismo tiempo, manteniendo la cadera nivelada y la espalda neutra."
Box Jump,Salta con ambos pies sobre un cajón y aterriza con las rodillas ligeramente flexionadas. Baja con control o escalón por escalón.
Box Squat (Barbell),"Sentadilla con barra bajando hasta tocar un cajón, con una pausa breve antes de subir. Ayuda a controlar la profundidad."
Boxing,"Trabajo cardiovascular con combinaciones de golpes, desplazamientos y guardia activa."
Bulgarian Split Squat,"Con el pie trasero apoyado en un banco, baja flexionando la pierna delantera hasta que el muslo quede paralelo al piso."
Burpee,"Desde de pie, baja a plancha, haz una flexión, recoge los pies y salta con los brazos arriba. Movimiento continuo."
Burpee Over the Bar,"Burpee completo seguido de un salto por encima de la barra, con un movimiento continuo entre repeticiones."
Butterfly (Pec Deck),"Sentado en la máquina, junta los brazos al frente en un arco cerrando el pecho y regresa controlando la apertura."
Cable Core Palloff Press,"De costado a la polea, extiende los brazos al frente resistiendo la rotación del torso. El objetivo es no girar."
Cable Crunch,"Arrodillado frente a la polea alta con la cuerda tras la nuca, flexiona el torso hacia abajo contrayendo el abdomen."
Cable Fly Crossovers,"De pie entre dos poleas altas, junta las manos al frente describiendo un arco y cruza ligeramente al final del recorrido."
Cable Pull Through,"De espaldas a la polea baja, pasa la cuerda entre las piernas y extiende la cadera hacia adelante apretando los glúteos."
Cable Twist (Down to up),"Desde la polea baja, gira el torso llevando el agarre en diagonal de abajo hacia arriba con los brazos extendidos."
Cable Twist (Up to down),"Desde la polea alta, gira el torso llevando el agarre en diagonal de arriba hacia abajo, controlando el regreso."
Calf Extension (Machine),"Extensión de pantorrillas en máquina, elevando los talones hasta la máxima contracción y bajando con control."
Calf Press (Machine),"En la prensa de piernas, empuja la plataforma solo con la punta de los pies extendiendo los tobillos."
Chest Dip,"En paralelas, inclina el torso hacia adelante y baja flexionando los codos hasta sentir estiramiento en el pecho. Empuja para subir."
Chest Dip (Assisted),"Fondo de pecho con asistencia de máquina o banda, que reduce parte del peso corporal."
Chest Dip (Weighted),Fondo de pecho con lastre en cinturón o entre las piernas para añadir carga.
